x2,x4,y1
53,6.9,1
57,4.7,0
67,4,0
79,4,0
82,4.4,0
80,3.5,0
75,3.6,0
75,3.8,0
71,4.2,0
50,4.1,0
48,4.3,0
44,5.8,0
21,5.7,0
15,6.7,1
60,4.7,0
54,4.3,0
50,4.9,0
50,5.1,0
48,5,0
47,5.1,0
47,5.1,0
24,4.2,0
17,3.8,0
37,6.7,1
62,4,0
47,5.2,0
47,4.6,0
47,6.7,0
42,4.8,0
40,5.9,0
24,4.6,0
17,3.8,0
16,3.5,0
30,6.7,1
53,3.6,0
46,4.4,0
30,5.2,0
30,6.7,0
26,3.6,0
24,5,0
23,4.6,0
7,4.6,0
2,3.5,0
15,6.7,1
50,5.1,0
33,5.1,0
30,5.1,0
7,4,0
23,6.7,1
47,4.4,0
39,4.4,0
37,5.4,0
26,4.9,0
23,3.6,0
23,5.2,0
18,4.8,0
16,5.9,0
24,6.6,1
22,4.4,0
47,5.1,0
9,4.1,0
30,4,0
47,5.1,0
41,5,0
67,4.2,0
24,3.9,0
24,4,0
47,4.5,0
24,6.6,1
44,4,0
17,3.8,0
47,5.1,0
24,4.4,0
47,5.6,0
47,4.1,0
3,3.9,0
47,3.9,0
24,4.2,0
32,6.9,1
77,4.2,0
25,5.8,0
58,5.3,0
50,5.8,0
50,5.4,0
85,4,0
88,4.4,0
84,6,0
59,4.3,0
54,6.2,0
25,6.9,1
27,5.2,0
5,4.3,0
22,5.7,0
20,5.1,0
53,4,0
36,4.4,0
9,4.2,0
2,5.5,0
10,3.7,0
22,5.5,0
